klingon	english
tam	be quiet (v)
tam	exchange, substitute (v)
tammoH	silence (v)
taQ	be weird (v)
taQbang	exhaust (n)
tar	poison (n)
taS	solution (liquid) (n)
tat	ion (n)
tay	be civilized (v)
taymoH	civilize (v)
tayqeq	civilization (n)
tay’	be together (v)
ta’	accomplish (v)
ta’	accomplishment (n)
ta’	emperor (n)
teb	fill (v)
teblaw’	jurisdiction (n)
teH	be true (v)
tej	scientist (n)
tel	wing (n)
telun Hovtay’	Tellun Star System (n)
tem	deny (v)
ten	embark (v)
tengchaH	space station (n)
tep	cargo (n)
tepqengwI’	cargo carrier (n)
teq	remove, take off (v)
tera’	Earth (n)
tera’ngan	Terran, Earther (n)
tet	melt (v)
tev	prize (n)
tey’	confide (v)
tI	vegetation (n)
tIch	insult (v)
tIgh	custom (n)
tIH	ray (n)
tIj	board, go aboard (v)
tIn	be big (v)
tIq	be long, lengthy (of an object) (v)
tIq	heart (n)
tIQ	be ancient (v)
tIr	grain (n)
tIS	be light (weight) (v)
tIv	enjoy (v)
tI’	fix, repair (v)
tob	prove (v)
toch	palm (of hand) (n)
toD	save, rescue (v)
togh	count (v)
toH	so, well (excl)
toj	deceive, trick (v)
tongDuj	freighter (n)
toplIn	topaline (n)
toq	be inhabited (v)
tor	kneel (v)
toS	climb (v)
toy’	serve (a master) (v)
toy’wI’	servant (n)
to’	tactics (n)
tuch	forbid (v)
tugh	soon (adv)
tuH	be ashamed (v)
tuH	maneuver (military term) (n)
tuHmoH	shame (v)
tuj	be hot (v)
tuj	heat (n)
tul	hope (v)
tum	agency (n)
tun	be soft (v)
tung	discourage (v)
tungHa’	encourage (v)
tup	minute (of time) (n)
tuQ	wear (clothes) (v)
tuQDoq	mind sifter (Klingon psychic probe) (n)
tuQHa’moH	undress (v)
tuQmoH	put on (clothes) (v)
tut	column (n)
tuv	be patient (v)
tu’	discover, find, observe, notice (v)
tlhab	be free, independent (v)
tlhab	freedom, independence (n)
tlhap	take (v)
tlhaq	chronometer (n)
tlhaQ	be funny (v)
tlha’	chase, follow (v)
tlheD	depart (v)
tlhegh	line, rope (n)
tlhej	accompany (v)
tlhetlh	progress (v)
tlhe’	turn (v)
tlhIb	be incompetent (v)
tlhIch	smoke (n)
tlhIH	you (plural) (pro)
tlhIl	mine (v)
tlhIl	mineral (n)
tlhIlwI’	miner (n)
tlhIngan	Klingon (n)
tlhIngan wo’	Klingon Empire (n)
tlhIv	be insubordinate (v)
tlhob	ask (v)
tlhoch	contradict (v)
tlhogh	marriage (n)
tlhoj	realize (v)
tlhol	be raw, unprocessed (v)
tlhon	nostril (n)
tlhong	barter, bargain (v)
tlhoQ	conglomeration (n)
tlhov	wheeze (v)
tlhuch	exhaust (v)
tlhuH	breath (n)
tlhuH	breathe (v)
tlhup	whisper (v)
tlhutlh	drink (v)
tlhu’	be tempted (v)
tlhu’moH	tempt (v)
vagh	five (num)
vaghDIch	fifth (num)
vaH	holster (n)
vaj	so, then, thus, in that case (adv)
val	be clever, smart, intelligent (v)
van	salute (v)
vang	act, take action (v)
vaQ	be aggressive (v)
vatlh	hundred (num)
vatlhvI’	percent (n)
vav	father (n)
vavnI’	grandfather (n)
vay’	somebody, something, anybody, anything (n)
veH	boundary (n)
vem	wake up, cease sleeping (v)
vemmoH	wake (someone) up (v)
veng	city (n)
vengHom	village (n)
veQ	garbage (n)
veQDuj	garbage scow (n)
vergh	dock (n)
vergh	dock (v)
veS	war (n)
vetlh	cockroach (n)
vIj	thruster (n)
vIng	whine (v)
vIt	tell the truth (v)
vI’	accumulate (v)
voDleH	emperor (n)
vogh	somewhere (n)
voHDajbo’	ransom (n)
volchaH	shoulder (n)
vong	hypnotize (v)
voq	trust, have faith in (v)
voqHa’	distrust (v)
voQ	choke (v)
vor	cure (v)
vo’	propel (v)
vub	hostage (n)
vuD	opinion (n)
vul	be unconscious (v)
vulqan	Vulcan (planet) (n)
vulqangan	Vulcan (person) (n)
vum	work, toil (v)
vup	pity (v)
vuQ	fascinate (v)
vuS	limit (v)
vut	cook (v)
vutpa’	galley (n)
vuv	respect (v)
vu’	manage (v)
vu’wI’	manager (n)
wam	hunt (v)
wanI’	phenomenon, event, occurrence (n)
waq	shoe (n)
waQ	obstruct (v)
watlh	be pure (v)
wav	divide (v)
waw’	base (military term) (n)
wa’	one (num)
wa’DIch	first (num)
wa’Hu’	yesterday (n)
wa’leS	tomorrow (n)
wa’logh	once (adv)
wa’maH	ten (num)
wa’maHDIch	tenth (num)
web	be disgraced (v)
wegh	confine (v)
weH	raid (v)
wej	not yet (adv)
wej	three (num)
wejDIch	third (num)
wejpuH	charming (used only ironically) (excl)
wem	violate (v)
wem	violation (n)
wep	jacket, coat (n)
wew	glow (v)
wIb	be sour (v)
wIch	myth (n)
wIgh	genius (n)
wIH	be ruthless (v)
wIj	farm (v)
wIv	choice (n)
wIv	choose, select (v)
wIy	tactical display (n)
woD	throw away (v)
woH	pick up (v)
woQ	authority, political power (n)
woS	chin (n)
wot	verb (n)
wov	be light, bright (v)
wo’	empire (n)
wuq	decide (v)
wuQ	have a headache (v)
wuS	lip (n)
wutlh	underground (n)
wuv	depend on, rely on (v)
ya	tactical officer (n)
yab	mind, brain (n)
yach	pet, stroke (v)
yaD	toe (n)
yaH	duty station, station (n)
yaj	understand (v)
yajHa’	misinterpret (v)
yap	be enough, sufficient (v)
yaS	officer (n)
yav	ground (n)
yay	victory, triumph (n)
yay’	be shocked, dumbfounded (v)
yej	assembly, council (n)
yem	sin (v)
yep	be careful (v)
yepHa’	be careless (v)
yev	pause (v)
yIb	vent (n)
yIH	tribble (n)
yIn	life (n)
yIn	live (v)
yInroH	life signs (n)
yIntagh	life-support system (n)
yIQ	be wet (v)
yIt	walk (v)
yIv	chew (v)
yIvbeH	tunic (n)
yob	harvest (v)
yoD	shield (n)
yoD	shield (v)
yoH	be brave (v)
yoj	judgment (n)
yol	conflict (n)
yon	be satisfied (v)
yonmoH	satisfy (v)
yong	get in (v)
yopwaH	pants (n)
yoq	humanoid (n)
yoS	district, area (n)
yot	invade (v)
yot	invasion (n)
yotlh	field (of land) (n)
yov	charge (military term) (v)
yoy	be upside down (v)
yo’	fleet (of ships) (n)
yuch	chocolate (n)
yuD	be dishonest (v)
yuDHa’	be honest (v)
yupma’	festival (n)
yuQ	planet (n)
yuQHom	planetoid (n)
yuQjIjQa’	United Federation of Planets (n)
yuv	push (v)
yu’	question, interrogate (v)
yu’egh	wave (n)
’a	but, nevertheless, even so, however (conj)
’ach	but, nevertheless, even so, however (conj)
’aD	vein (n)
’ang	show, reveal (v)
’ar	how many? how much? (ques)
’argh	worsen (v)
’av	guard (v)
’avwI’	guard (n)
’aw’	sting (v)
’ay’	section (n)
’eb	opportunity (n)
’eH	ready (excl)
’ej	and (joining sentences) (conj)
’ejDo’	starship, starship class (n)
’ejyo’	Starfleet (n)
’ejyo’waw’	star base (n)
’el	enter, go in (v)
’elaS	Elas (n)
’eng	cloud (n)
’er	type of animal (n)
’et	fore (n)
’etlh	sword (n)
’e’	that (previous topic) (pro)
’IH	be beautiful, handsome (v)
’Ij	listen (v)
’Il	be sincere (v)
’Ip	oath (n)
’Ip	vow, swear (v)
’IQ	be sad (v)
’ISjaH	calendar (n)
’It	be depressed (v)
’Itlh	be advanced, highly developed (v)
’Iv	altitude (n)
’Iv	who? (ques)
’Iw	blood (n)
’och	tunnel (n)
’ogh	invent, devise (v)
’oH	it (pro)
’oj	be thirsty (v)
’ol	verify (v)
’ong	be cunning, sly (v)
’orghen	Organia (n)
’orghen rojmab	Organian Peace Treaty (n)
’orghengan	Organian (n)
’oS	represent (v)
’oSwI’	emissary (n)
’oy’	ache, hurt, be sore (v)
’oy’	ache, pain, sore (n)
’o’	aft (n)
’ugh	be heavy (v)
’uH	have a hangover, be hung over (v)
’um	be qualified (v)
’uQ	dinner (n)
’urmang	treason (n)
’uS	leg (n)
’ut	be essential, necessary (v)
’utlh	officer (n)
’uy	press down (v)
’uy’	million (num)
’u’	universe (n)
